Name,Seller,Price
"Apple iPhone 15 (Blue, 128 GB)",TREASURE HAUL ONLINE,"₹70,999"
"Apple iPhone 15 (Pink, 128 GB)",GRAHGOODS RETAIL,"₹70,999"
"Apple iPhone 15 (Green, 128 GB)",TREASURE HAUL ONLINE,"₹70,999"
"Apple iPhone 15 Plus (Blue, 128 GB)",TrueComRetail,"₹82,999"
"Apple iPhone 15 (Black, 256 GB)",TREASURE HAUL ONLINE,"₹81,999"
"Apple iPhone 15 Plus (Black, 128 GB)",TrueComRetail,"₹82,999"
"Apple iPhone 15 Pro Max (Blue Titanium, 256 GB)",TrueComRetail,"₹1,48,900"
"Apple iPhone 15 Pro Max (White Titanium, 256 GB)",TrueComRetail,"₹1,48,900"
"Apple iPhone 15 (Yellow, 128 GB)",HydtelRETAILSsales,"₹70,999"
"Apple iPhone 15 Pro Max (Natural Titanium, 256 GB)",TrueComRetail,"₹1,48,900"
"Apple iPhone 15 Pro (Natural Titanium, 128 GB)",HydtelRETAILSsales,"₹1,27,990"
"Apple iPhone 15 Plus (Green, 128 GB)",TrueComRetail,"₹82,999"
"Apple iPhone 15 (Blue, 256 GB)",TREASURE HAUL ONLINE,"₹81,999"
"Apple iPhone 15 Plus (Pink, 128 GB)",TrueComRetail,"₹82,999"
"Apple iPhone 15 Pro (White Titanium, 128 GB)",HydtelRETAILSsales,"₹1,27,990"
"Apple iPhone 15 Pro (Blue Titanium, 128 GB)",HydtelRETAILSsales,"₹1,27,990"
"Apple iPhone 15 Pro Max (Black Titanium, 256 GB)",TrueComRetail,"₹1,48,900"
"Apple iPhone 15 (Pink, 256 GB)",HydtelRETAILSsales,"₹81,999"
"Apple iPhone 15 (Blue, 512 GB)",HydtelRETAILSsales,"₹1,01,999"
"Apple iPhone 15 Pro (Natural Titanium, 256 GB)",HydtelRETAILSsales,"₹1,37,990"
"Apple iPhone 15 Pro (Blue Titanium, 256 GB)",HydtelRETAILSsales,"₹1,37,990"
"Apple iPhone 15 Pro (Black Titanium, 512 GB)",HydtelRETAILSsales,"₹1,58,990"
"Apple iPhone 15 Pro (Black Titanium, 256 GB)",HydtelRETAILSsales,"₹1,37,990"
"Apple iPhone 15 (Green, 256 GB)",HydtelRETAILSsales,"₹81,999"
